predicted,real,set
6.076633,6.77,training
8.838331,7.89,training
5.6521087,5.16,training
7.1421967,6.98,training
3.2642872,3,training
7.701835,7.7,training
6.646918,6.15,training
6.021668,6.29,training
7.3362236,7.62,training
6.323035,6.4,training
2.5725014,3.05,training
6.6744895,6.49,training
7.3670974,7.14,training
8.469079,8.7,training
9.5835495,9.72,training
5.3071294,5.58,training
5.983815,6,training
5.6435447,5.31,training
7.3300204,7.15,training
6.574453,6.55,training
6.570108,5.92,training
7.721454,7.68,training
6.3659234,6.06,training
3.9804788,3.77,training
10.293214,9.6,training
8.189552,8.7,training
6.8727713,6.5,training
5.3617578,5.05,training
6.3046308,7.15,training
5.1802316,5.6,training
8.738667,9.4,training
8.380955,7.82,training
8.407459,8.85,training
2.2518232,2.3,training
4.822271,4.82,training
4.319058,4.14,training
8.572709,8.64,training
7.5456514,7.6,training
6.07678,5.8,training
5.87244,5.08,training
3.8847985,4.76,training
3.8847985,4.76,training
7.2647057,7.64,training
4.8989773,4.82,training
5.4959636,5.8,training
9.033218,9,training
6.565119,6.62,training
6.4663944,6.85,training
4.7166095,3.89,training
6.550436,6.1,training
3.911564,3.35,training
3.9722147,3.52,training
4.3236485,3.52,training
6.9724097,6.85,training
7.767693,7.84,training
8.075358,7.96,training
6.2767305,6,training
5.59011,5.08,training
6.9628887,6.28,training
7.625676,7.46,training
6.4407215,6.2,training
5.589162,5.15,training
7.179184,7.15,training
10.077519,11.89,training
6.599857,6.74,training
4.9508896,4.51,training
7.8584023,7.34,training
7.6847486,7.7,training
6.261785,6.19,training
6.282339,5.7,training
7.996604,8.22,training
5.23164,5.24,training
8.655721,7.89,training
5.4911146,5.17,training
8.446725,8.12,training
9.167102,8.6,training
8.172857,9.41,training
4.8808565,4.83,training
5.353744,5.04,training
7.9403477,11.59,training
7.9643106,8,training
5.7338614,5.57,training
7.562815,7.52,training
3.7237341,4,training
8.512337,8.52,training
4.778463,4.62,training
16.112082,15,training
5.210187,5.62,training
6.767818,6.47,training
8.038684,8.54,training
8.940436,8.43,training
4.9825068,5,training
8.173503,8.17,training
4.7130837,4.48,training
5.1316786,4.46,training
5.1715503,4.17,training
6.2231116,5.85,training
4.188579,4,training
7.442658,8.15,training
8.133157,8.3,training
7.315026,6.89,training
7.4958577,7.35,training
5.419658,6.09,training
4.364045,3.52,training
3.3937569,3.3,training
1.6357057,1.85,training
6.778304,6.25,training
7.721419,7.04,training
9.353915,9.7,training
9.31209,8.52,training
4.318652,3.6,training
9.105882,8.57,training
6.9985,6.85,training
5.608423,6.22,training
6.8685994,7.31,training
3.8356457,3.94,training
6.1179676,6.48,training
5.2954736,5.22,training
3.2915604,2.81,training
3.7748077,3.4,training
5.50436,5.32,training
3.6857934,4.12,training
4.598704,4.7,training
7.651113,8.05,training
7.5120416,6.98,training
8.703688,8.19,training
4.941665,4.55,training
7.4525867,7.22,training
5.5446806,5.47,training
4.7946053,4.46,training
4.153205,1.91,training
7.227862,7.53,training
4.5622053,3.89,training
7.6668496,7,training
6.8802314,6.82,training
7.785065,7.08,training
5.712728,5.47,training
8.225714,8.3,training
4.679683,4.31,training
5.6775665,6.36,training
6.64439,6.77,training
2.5896916,2.22,training
7.220716,6.72,training
6.461508,6.85,training
4.2125926,3.7,training
5.0679393,5.4,training
4.365879,4.66,training
7.745884,7.57,training
6.3950434,7.15,training
6.9370914,6.92,training
8.668673,8,training
8.680594,8.26,training
7.958684,7.82,training
6.877176,6.89,training
4.6558495,4.96,training
8.752936,7.92,training
8.559978,8.48,training
8.38813,8.01,training
8.120838,8.13,training
8.181111,7.74,training
4.985369,5,training
8.606554,8.6,training
6.0018697,6.01,training
5.807302,6.01,training
9.123813,9.15,training
6.5502515,7.21,training
3.022262,2.89,training
9.5587,9.4,training
3.5407925,2.86,training
7.101225,7.52,training
7.6179852,7.25,training
8.806372,9.11,training
9.312138,8.52,training
4.635412,4.96,training
6.648661,6.52,training
6.62741,6.15,training
7.6968827,7.27,training
8.285885,8.52,training
5.98031,5.45,training
5.7580385,5.11,training
8.493629,8.77,training
8.50346,8.15,training
5.9142485,5.08,training
5.4398007,5.12,training
6.205209,6.4,training
5.0243325,5,training
8.054337,8,training
5.986726,5.68,training
3.916175,4.29,training
3.916175,4.29,training
7.863268,7.49,training
7.262581,6.68,training
5.279037,5,training
2.4108481,2.6,training
7.9306445,6.96,training
5.7929387,5.23,training
7.2946067,7.46,training
7.937403,7.92,training
6.7972126,6.36,training
6.458176,6.26,training
9.371125,9.48,training
4.060171,4.46,training
6.3097653,6.68,training
8.224762,8.7,training
5.418616,5.3,training
7.5270076,7.4,training
5.68543,6.28,training
7.4687915,7.82,training
9.172644,9.36,training
7.1788154,6.93,training
4.85628,5.22,training
9.606435,9.31,training
5.3347955,5.27,training
6.7088385,6.74,training
3.9181485,4.48,training
11.030277,10.44,training
8.752398,7.95,training
7.8025465,7.01,training
7.926805,7.62,training
5.5642858,5.96,training
6.41984,6,training
5.4808183,5.35,training
5.362251,5.34,training
7.047443,7.35,training
7.3278594,7.4,training
5.6984243,5.89,training
9.539128,9.52,training
7.461271,7.97,training
7.2521396,7.4,training
5.7368274,6.2,training
4.452596,4.03,training
6.3917065,6.02,training
3.6174412,3.65,training
6.1487155,7.09,training
7.0161266,7.85,training
7.0806284,7.12,training
7.5020256,7.96,training
3.6414742,3.31,training
3.9408462,3.42,training
9.421784,9.52,training
12.586081,10.92,training
7.048177,6.59,training
5.5773635,4.84,training
8.2622595,8.12,training
3.9769723,2.92,training
6.5690837,6.4,training
4.6502867,4.6,training
6.117512,5.96,training
6.2168217,6.59,training
7.5989647,7.89,training
6.9694123,6.36,training
7.827225,7.75,training
7.0062256,6.92,training
5.028413,4.91,training
7.932754,7.46,training
5.7285805,5.4,training
4.933944,5.54,training
5.599621,5.68,training
4.2504187,5.4,training
10.785661,10.17,training
4.9430356,4.62,training
9.766074,9,training
5.98753,6.02,training
7.8031726,7.68,training
6.335487,5.77,training
8.639405,9.4,training
7.620153,8.59,training
9.815769,8.18,training
3.7419057,3.44,training
5.146849,4.74,training
7.4692593,7.24,training
6.895258,6.92,training
8.262148,9,training
5.083638,4.41,training
6.03319,5.79,training
8.005829,7.77,training
4.6994286,4.13,training
4.585474,4.47,training
7.008402,7.64,training
4.538633,4.5,training
1.8585026,1.92,training
6.576973,7.22,training
5.907162,5.73,training
6.8191433,6.8,training
3.3447642,2.8,training
5.1349235,4.91,training
4.6580577,4.59,training
8.7818775,8.89,training
3.6054647,3.57,training
5.6494474,4.85,training
8.3818445,9.6,training
6.3463697,6.72,training
9.084218,8.52,training
8.429687,8.14,training
5.847741,6.05,training
11.7009535,11.07,training
4.492564,4.09,training
6.6823826,6.66,training
4.2341123,4.48,training
5.0129166,4.7,training
7.1067677,7.11,training
5.835789,6.05,training
7.1606865,6.74,training
2.4074333,2.3,training
8.007653,7.43,training
9.292091,8.7,training
8.730151,7.77,training
5.3582172,5.24,training
6.9670157,7.7,training
7.4629836,7.89,training
7.681069,7.43,training
7.587599,8,training
8.402563,8.62,training
5.673814,5.21,training
6.210238,6.13,training
6.770995,6.62,training
5.646526,5.41,training
3.6852047,3.97,training
7.221356,7.07,training
6.315007,6,training
6.8740516,6.92,training
5.235225,5.21,training
6.3185844,6.65,training
5.1141896,3.98,training
8.207754,8.52,training
5.674241,6.01,training
6.0476146,6.59,training
7.256971,7.22,training
9.672667,10,training
5.806675,5.38,training
8.896671,9.4,training
5.583483,5.34,training
8.301067,8.22,training
7.471737,7.62,training
7.157654,6.89,training
6.6271257,6.3,training
6.6732473,6.6,training
5.5704093,6.52,training
13.557908,13.77,training
8.410749,8,training
7.060435,6.99,training
8.18829,8.19,training
6.9682217,6.82,training
5.6287456,5.44,training
6.8755846,6.23,training
4.2378545,4.1,training
5.187263,4.6,training
10.188738,9.7,training
4.1433663,4.49,training
4.466382,4.03,training
7.995472,8.8,training
5.235676,5.28,training
4.521949,4.3,training
6.4456415,6.13,training
4.798912,3.35,training
3.8754346,3.56,training
8.89297,9.16,training
7.706858,7.96,training
6.5696836,6.22,training
5.750864,6.06,training
7.553789,7.24,training
6.255295,5.52,training
8.268658,6.7,training
4.516141,4.25,training
8.406925,8.05,training
6.767447,5.68,training
9.493383,9.43,training
5.878601,5.6,training
7.4122276,7.45,training
6.94789,7.51,training
5.3394365,4.96,training
6.9013467,7.05,training
5.9008474,6.52,training
7.0573273,7.17,training
4.813467,4.46,training
7.330832,7.3,training
3.840095,3.84,training
8.474544,8.36,training
5.734337,5.77,training
5.6321673,5.11,training
8.973111,8.66,training
5.425961,4.77,training
9.246289,8.52,training
4.973468,4.96,training
8.30669,7.46,training
5.5778093,5.51,training
4.795005,5.62,training
8.047423,7.62,training
5.397335,5.39,training
5.207668,5.3,training
6.105634,6.4,training
4.629571,6.05,training
6.519438,6.6,training
6.966445,6.82,training
8.973111,9.21,training
8.002319,8.23,training
7.582233,6.85,training
6.7677073,6.52,training
4.921791,4.52,training
6.0846586,6.48,training
8.724084,8.35,training
6.0653834,5.32,training
6.3567524,5.68,training
4.3102407,4.29,training
8.407108,8.1,training
7.412498,7.52,training
10.039298,9,training
9.267893,9.89,training
6.98844,7.09,training
5.1609235,4.68,training
9.079645,9,training
8.951218,8.46,training
5.5811296,5.82,training
9.413038,9.44,training
8.662522,7.96,training
3.8862739,3.68,training
4.584265,5.77,training
4.938027,5.1,training
5.923216,6.22,training
6.285628,6,training
3.2420266,2.47,training
7.73345,7.3,training
6.7072234,6.48,training
4.5607443,4.33,training
3.0841053,2,training
7.193977,7.12,training
8.8298235,8.22,training
6.012487,4.8,training
8.0187435,7.98,training
6.4004865,5.85,training
7.366964,6.52,training
8.732502,8.15,training
6.0337186,5.77,training
8.4433155,7.74,training
7.5001945,7.82,training
7.953569,8.3,training
7.327809,7.15,training
8.816891,8.1,training
4.4762464,4.62,training
5.0701313,4.6,training
6.9627137,6.52,training
8.439267,7.57,training
4.3249464,3.7,training
7.580266,8,training
6.984756,6.85,training
6.2454147,6.16,training
6.32816,5.51,training
6.1169496,6.11,training
7.211546,6.94,training
4.214746,3.52,training
6.161409,6.14,training
5.6626396,5,training
5.3081985,4.69,training
7.651425,7.8,training
7.5206137,7.15,training
4.120559,3.85,training
5.430359,4.92,training
6.8546133,6.05,training
5.9400563,6.04,training
4.745019,4.64,training
5.1824613,4.9,training
5.9135313,6.21,training
1.9135779,0.49,training
6.063618,3.8,training
9.61317,9.57,training
6.339809,6.07,training
6.3263397,6.48,training
4.8214216,4.87,training
4.312897,4.04,training
5.6287994,6.49,training
1.6071205,1.36,training
2.3738518,2.1,training
6.414401,5.65,training
6.867212,7.42,training
7.43723,7.82,training
1.7335391,1.4,training
1.9774625,0.82,training
5.7846546,7.01,training
6.0547757,5.77,training
8.975548,8.82,training
6.9956055,7,training
7.6969275,7.96,training
7.6969275,7.96,training
4.4591336,4.42,training
6.164111,5.39,training
5.0280585,5.18,training
7.3289924,7.75,training
4.749515,4.57,training
4.4113965,4.62,training
8.382576,8.85,training
6.22909,6.62,training
6.06256,6.66,training
7.711678,8.15,training
8.085676,8.82,training
6.2455983,6.07,training
5.821968,5.57,training
5.19982,5.17,training
6.6671686,6.89,training
5.030061,4.05,training
11.271613,10.62,training
5.6297455,5.35,training
7.6230936,7.7,training
6.206559,5.68,training
9.366302,9.59,training
8.04633,7.43,training
5.371175,4.57,training
4.505199,4.62,training
7.031507,7.24,training
7.681911,7.64,training
5.5741262,5.17,training
7.979593,7.89,training
4.6032987,4.21,training
6.0810146,6.31,training
8.657951,7.91,training
5.338137,5.24,training
5.9415407,5.6,training
8.744117,9,training
6.7663274,6.64,training
8.472182,7.77,training
10.543182,10.1,training
6.050567,5.57,training
4.5177474,4.21,training
4.9873214,4.38,training
7.924581,7.01,training
5.7851467,5.26,training
6.215689,6.48,training
7.9835763,7.89,training
8.911358,8.62,training
6.827624,5.89,training
9.53413,11.22,training
7.3175015,6.99,training
6.140986,5.59,training
5.2069073,5.1,training
5.617931,5.8,training
7.807565,7.05,training
6.956923,6.93,training
8.463159,7.16,training
5.6828027,5.35,training
3.2261665,3.14,training
7.066216,7.19,training
6.9215055,7.57,training
7.2117014,6.52,training
7.271425,7.15,training
6.1964417,5.81,training
6.2271566,5.92,training
4.318266,3.83,training
7.1559143,7.02,training
6.337221,6.48,training
7.9659686,7.6,training
7.8739023,7.64,training
7.4424467,7.62,training
8.746029,8.57,training
6.1952353,6.42,training
5.5820513,4.89,training
5.1269746,4.89,training
6.882297,6.92,training
6.6934266,6.31,training
7.7927337,7.85,training
8.387801,7.48,training
6.8337097,7.02,training
5.254042,4.31,training
4.7448187,4.92,training
8.799898,8.15,training
4.2514014,4.75,training
7.6960435,8.52,training
4.06869,3.77,training
2.842226,1.92,training
5.748964,5.92,training
5.2675834,5.54,training
10.272287,9.54,training
4.665765,4.59,training
2.887504,2,training
5.615045,6,training
6.3325586,6.15,training
7.9597273,7.47,training
6.609583,7,training
7.6663136,7.9,training
7.9139776,7.77,training
6.758102,6.41,training
5.9807234,5.3,training
4.9976363,5.72,training
4.638267,3.47,training
7.860995,6.3,training
3.846101,4.26,training
8.773566,8.09,training
7.110854,7.89,training
5.1104794,4.61,training
4.2149506,3.76,training
6.872225,6.77,training
8.931649,9.52,training
6.9857435,8.15,training
6.8753295,6.72,training
6.4016185,5.74,training
7.2126904,6.46,training
7.6570954,7.22,training
7.0156355,6.8,training
4.623756,4.55,training
5.5487843,5.26,training
5.7854185,5.15,training
6.540572,6.57,training
6.04054,6.91,training
6.0461726,5.54,training
5.8866253,5.48,training
5.990772,6.49,training
6.556315,6.68,training
10.229139,10.52,training
7.954547,7.33,training
8.102488,7.66,training
6.1854672,6.35,training
6.705852,6.34,training
7.860183,9.1,training
7.9036207,8.07,training
4.474709,4.53,training
8.91204,8.7,training
5.4456143,5.08,training
3.9224334,3.98,training
3.9995806,4.19,training
7.135757,6.8,training
4.9691777,4.67,training
4.052521,4,training
8.166287,8.72,training
6.109672,5.66,training
5.845999,6,training
5.9072056,5.77,training
5.3714957,4.92,training
7.0183587,6.63,training
6.239201,6.56,training
6.499146,6.73,training
5.135244,4.89,training
8.382285,8.07,training
5.3944635,5.15,training
5.928106,5.92,training
7.627524,7.82,training
2.6684914,2.7,training
5.171897,5.2,training
5.026468,4.59,training
2.9842181,2.26,training
5.5035715,6.61,training
3.1299653,3,training
5.366285,4.96,training
6.081452,5.22,training
7.1461587,6.96,training
5.912122,6.05,training
6.964442,6.92,training
4.003102,3.18,training
5.561323,5.48,training
5.1683493,5,training
15.67451,12.39,training
7.3718743,7.91,training
7.245208,7.4,training
9.63863,9,training
8.12217,7.77,training
8.49133,7.89,training
3.6302946,3.7,training
4.6523013,4.77,training
5.7753267,5.82,training
3.2653892,3.52,training
6.446367,6.1,training
4.557048,4.3,training
7.2303224,7.92,training
6.8504415,6.92,training
5.925168,5.78,training
7.728668,7.74,training
6.174785,5.44,training
3.3131511,3.32,training
2.5529401,2.66,training
4.899032,4.97,training
3.3958042,2.62,training
3.3958042,2.62,training
3.4825134,3.05,training
3.8986502,3.49,training
5.6582937,5.52,training
6.2169266,6.52,training
8.427286,8.14,training
5.5140057,5.76,training
5.4553266,5.7,training
7.78046,6.86,training
6.7334943,6.82,training
6.9493966,6.82,training
4.7585278,4.92,training
6.672964,8.7,training
4.6772275,4.3,training
5.4337306,6.1,training
8.18842,8.15,training
6.050377,6.15,training
5.2310295,5.22,training
5.3526034,5.1,training
6.975514,6.24,training
9.93656,9.92,training
9.759217,9.3,training
8.88039,8.72,training
7.4937086,7.1,training
7.5516825,8.7,training
7.321148,7.19,training
5.036223,5.14,training
4.5948853,4.43,training
6.1476398,6.55,training
3.4268832,2.85,training
4.7646103,4.77,training
8.275475,8.1,training
10.203283,9.42,training
5.238889,5.66,training
5.1298575,5.41,training
4.580095,4.1,training
6.2893233,6.27,training
5.007403,5.09,training
6.534741,6,training
4.6690702,4.44,training
7.7161145,7.68,training
7.0254407,6.89,training
3.6064587,3,training
4.160562,4.2,training
8.057278,8.4,training
6.7726154,7.8,training
6.0524364,5.85,training
4.441257,3.87,training
9.69698,9,training
7.501205,7.62,training
6.9957204,6.7,training
5.378879,5.68,training
6.596314,6.39,training
3.172209,3.15,training
6.509112,6.23,training
4.861209,5.3,training
6.086732,6.43,training
6.6591425,6.82,training
6.0374074,5.92,training
7.955775,7.15,training
7.8784246,6.12,training
4.6321754,4.89,training
7.519483,7.7,training
10.0460415,9.06,training
5.89968,6,training
7.0474105,6.22,training
7.347619,7.14,training
8.2137575,7.7,training
7.212378,7.26,training
5.901114,6.27,training
7.3444757,7.7,training
5.126948,4.89,training
3.3122308,3.46,training
7.622057,7.26,training
3.1233935,2.81,training
7.0304723,6.95,training
9.205808,8.89,training
5.8689446,4.82,training
6.6387057,6.6,training
5.2221,5.13,training
8.530927,8.07,training
3.6013732,3.64,training
7.7958326,7.15,training
7.108389,7.01,training
8.986878,8.82,training
7.7799654,7.7,training
7.8630404,7.92,training
10.066832,9.22,training
4.837447,6.24,training
6.339712,6.92,training
6.580853,6.6,training
8.328103,8.64,training
9.762518,8.89,training
6.2134995,5.62,training
4.9451075,3.72,training
8.807889,8.62,training
8.125132,8.64,training
8.923713,8.82,training
4.64329,4.45,training
3.3541305,3.3,training
9.189074,9,training
6.9223843,6.82,training
6.712939,6,training
6.1918077,5.6,training
7.885511,6.52,training
6.2740855,6.47,training
4.8921723,5.47,training
6.8362145,6.4,training
9.947768,10.15,training
6.1705327,6.19,training
7.0999336,7.41,training
8.013429,8.4,training
5.780393,5.3,training
8.942127,9,training
6.931694,6.21,training
4.6301274,4.31,training
3.7099948,3.46,training
7.983614,8.15,training
6.8074274,6.47,training
6.6601224,6.66,training
6.000876,6.68,training
3.7884054,3.28,training
3.658037,3.66,training
5.7821198,5.98,training
7.690231,8.02,training
6.1105413,5.64,training
1.7698407,1.7,training
6.6410003,7.47,training
7.180646,7.7,training
8.32457,7.54,training
5.9917226,5.7,training
3.6087608,4.28,training
4.6044974,4.48,training
5.8297815,6,training
5.325847,4.94,training
6.0885434,6.45,training
3.9464464,4.07,training
5.053517,4.64,training
9.511357,8.7,training
7.864912,7.8,training
7.7002463,8,training
7.994981,7.41,training
5.2394924,4.8,training
2.6122346,2.64,training
5.656976,5.96,training
6.661272,6.1,training
5.665103,5.38,training
6.036993,5.75,training
6.216217,5.6,training
7.1777945,6.32,training
8.702299,8.51,training
6.514195,6.6,training
6.670381,7.19,training
6.372735,5.74,training
10.434586,9.05,training
8.303341,8.39,training
8.939151,9,training
8.464414,8.12,training
8.699203,8.65,training
6.7263613,6.7,training
4.081906,3.46,training
5.9299054,5.76,training
8.321241,8.26,training
5.956899,6.42,training
7.672978,7.68,training
5.942655,6.05,training
4.481276,3.6,training
7.996001,8.15,training
4.1417365,4.49,training
6.9113765,6.85,training
8.224913,7.92,training
6.6062093,6.64,training
4.328571,3.98,training
7.0706496,6.63,training
4.7333455,4.71,training
4.225838,4.72,training
8.185029,8.27,training
10.612667,10.35,training
6.018176,5.8,training
6.955953,7.12,training
4.147827,4.37,training
6.6249986,6.1,training
7.4157968,7.34,training
4.861424,4.6,training
4.345467,3.87,training
9.338353,8.8,training
5.7248197,5.34,training
5.760092,5.42,training
7.286983,7.42,training
7.541199,6.95,training
7.091215,6.1,training
11.246499,11.05,training
6.3691335,6.23,training
6.5269966,6.1,training
6.6620865,6.3,training
8.300906,8.6,training
2.759606,2.82,training
5.6138077,5,training
2.976307,3.1,training
5.852443,5.6,training
5.852443,5.6,training
7.3801665,7.55,training
4.28254,4.41,training
3.9858775,3.3,training
4.424684,3.67,training
6.8665137,6.76,training
6.9742665,6.85,training
4.2116876,4.19,training
6.790261,6.89,training
3.7307436,3.51,training
7.409872,7.24,training
7.4044733,6.3,training
5.1619315,4.99,training
8.717429,7.92,training
7.4054656,6.99,training
6.6044507,6,training
8.924456,8.52,training
13.038961,15,training
4.5318136,4.7,training
8.078072,8.22,training
4.9282722,4.52,training
7.859284,8.08,training
4.914607,5.1,training
4.914607,5.1,training
9.686694,9.05,training
5.327062,4.89,training
4.8266616,3.82,training
8.492376,7.68,training
6.3126707,6.44,training
8.716695,8.2,training
8.133295,7.72,training
8.117101,8.4,training
4.1947484,4.63,training
8.404271,7.77,training
7.6455226,7.7,training
5.821561,5.92,training
6.77709,6.46,training
7.638419,8.05,training
8.26992,8.22,training
7.157221,6.91,training
6.75686,4.59,training
6.756155,6.54,training
6.690188,6.35,training
4.36245,3.37,training
3.3322294,3.43,training
6.0695715,6.57,training
6.2704887,6.02,training
4.0036316,3.77,training
4.716223,3.95,training
8.136386,7.96,training
3.105751,2.3,training
7.9058046,7.85,training
8.160401,8.22,training
4.6620693,4.01,training
6.4434166,6.4,training
7.6503835,6.94,training
8.902137,8.7,training
5.378349,4.62,training
9.088287,9.04,training
6.952345,6.59,training
4.760289,5,training
7.1985674,6.83,training
7.789775,8.09,training
5.92999,5.62,training
4.2645063,3.6,training
8.759609,7.07,training
5.128224,5.56,training
6.5294,7.46,training
6.319452,6.74,training
8.595069,8.27,training
9.655298,9.52,training
6.666291,6.48,training
8.843417,8.7,training
7.9990525,8.06,training
6.8327446,6.94,training
8.862337,8.74,training
7.458686,6.84,training
6.748164,7.09,training
4.132248,3.6,training
3.8029706,4.05,training
8.490225,8.14,training
6.419145,5.92,training
4.5491557,4.96,training
7.025351,7.39,training
3.9682732,3.31,training
8.167473,7.77,training
3.9337478,3.77,training
7.334667,7.4,training
6.713953,6.43,training
5.3459883,5.62,training
7.558292,7.62,training
6.175299,7.33,training
8.129951,8.52,training
5.0832744,5,training
5.6911926,5.7,training
12.342354,11.52,training
6.2045026,5.88,training
3.0348947,2.77,training
9.060559,8.82,training
7.6412916,7.89,training
5.46863,5.44,training
7.245757,7.63,training
4.582443,3.94,training
9.916798,9.92,training
3.5552523,3.1,training
5.995341,5.84,training
6.8726487,7.57,training
6.498022,6.25,training
6.936727,7.3,training
7.6060643,7.57,training
6.639839,6.52,training
5.5035715,5.38,training
5.3905735,5.03,training
7.201293,7.82,training
4.762115,4.4,training
5.5292845,4.7,training
7.1097093,6.82,training
7.1097093,6.82,training
4.606629,4.45,training
6.8520827,6.43,training
9.052632,7.85,training
8.026401,7.82,training
5.7600284,4.85,training
9.088021,9.48,training
5.5195727,5.07,training
3.285392,3.15,training
3.9913902,2.82,training
3.889956,3.87,training
6.401732,6.4,training
7.512097,7.92,training
6.651872,6.55,training
7.4153237,7.22,training
5.1218915,5.35,training
8.580625,8.52,training
8.187024,8.38,training
7.6700096,7.89,training
4.325291,4.59,training
8.285781,8.36,training
7.6485524,7.29,training
5.0728936,5.15,training
4.123421,4.54,training
7.6853495,7.13,training
4.839047,4.51,training
5.261563,4.89,training
7.2726407,6.57,training
9.002098,8,training
5.6338367,5.7,training
4.380976,4.46,training
5.065505,4.61,training
10.579224,11.05,training
6.6912546,6.15,training
6.993085,7.21,training
7.3946795,7.33,training
4.4016714,4.57,training
6.845642,6.92,training
4.718025,4.44,training
6.2896233,5.76,training
5.9048705,6,training
7.6719136,7.16,training
3.6474764,3.64,training
6.864091,7.74,training
5.458987,4.94,training
7.1233954,7.24,training
8.73374,8.8,training
5.3789635,5,training
8.426882,9.4,training
7.2054343,7,training
7.274065,6.85,training
9.261694,8.92,training
6.151384,6.37,training
6.8966184,6.21,training
6.5778294,6.07,training
6.3693185,5.62,training
7.6314483,7.19,training
5.5205526,5.33,training
8.235866,8.4,training
5.067433,5.15,training
9.58833,9.26,training
8.72683,7.25,training
6.367768,5.66,training
9.19991,10,training
5.1593046,4.3,training
3.949082,3.4,training
6.479615,6.44,training
4.697819,4.94,training
6.688203,7,training
7.266783,8.34,training
8.10511,6.88,training
7.2497106,7.66,training
6.1208367,5.91,training
8.840321,8.52,training
7.343306,7.55,training
7.3351817,6.76,training
7.3111515,7.08,training
7.2415376,8.02,training
8.504242,8.11,training
5.3120365,5.19,training
8.556358,7.92,training
8.016481,7.8,training
6.7678404,7.11,training
6.488315,5.67,training
4.126142,4.03,training
5.685437,5.17,training
8.48077,8.48,training
6.0770354,4.77,training
5.8286495,5.77,training
6.446118,6.57,training
7.1382074,7.19,training
8.937678,8,training
8.092767,7.74,training
8.968276,8.4,training
5.367988,5.77,training
7.1352353,7.07,training
11.633061,11.4,training
7.134679,7.3,training
8.153657,8.1,training
7.2649536,7.55,training
8.211766,8,training
7.282241,6.57,training
8.175055,8.6,training
8.306114,7.64,training
8.83828,8.7,training
7.995035,8.4,training
9.532569,8.7,training
5.269323,5.2,training
7.123555,6.92,training
8.121942,7.26,training
5.976947,5.74,training
7.500591,7.37,training
8.609237,9.03,training
9.27102,8,training
6.3950787,5.92,training
6.981553,6.47,training
8.067856,9.15,training
6.0006537,5.89,training
4.93664,5.27,training
5.6441708,5.48,training
6.2611074,5.24,training
8.4100485,8.3,training
6.3602424,6.05,training
7.719797,7.1,training
4.2459893,3.36,training
6.1201935,5.89,training
5.8522186,5.68,training
6.908137,7.46,training
8.080139,7.24,training
6.379548,6.13,training
7.5378585,7.25,training
5.645989,5.42,training
5.4559636,4.51,training
7.047997,7.29,training
5.821778,5.6,training
8.296299,8.21,training
7.2806373,6.4,training
9.573038,9.74,training
7.0635023,6.62,training
7.786075,8.44,training
4.4920816,3.68,training
5.5228224,5.52,training
3.5958729,3.73,training
4.1571336,3.63,training
5.8415456,5.15,training
8.509706,8.1,training
6.5782,6.54,training
8.623642,8.38,training
8.3781805,7.82,training
4.4983788,4.43,training
3.9785855,4.42,training
5.8380685,6.1,training
8.461036,8,training
7.1636295,6.59,training
4.0218964,4.1,training
5.438603,5.77,training
4.843344,5.01,training
7.970613,8.1,training
8.846952,8.53,training
9.877752,8.74,training
6.8067617,6.85,training
1.2844017,1.24,training
5.6785965,5.8,training
8.822324,7.7,training
4.015737,3.75,training
9.231059,9.77,training
5.5017867,5.42,training
4.743743,4.74,training
6.8873816,6.22,training
6.8873816,6.22,training
8.220144,7.77,training
7.2761655,7,training
7.1616535,7.92,training
5.398089,4.89,training
8.378658,8.15,training
7.768333,7.66,training
6.56339,6.36,training
2.433451,2,training
7.5570927,7.64,training
3.5670948,3.5,training
3.9295335,3.54,training
7.734318,8.3,training
10.628067,10.7,training
3.2677445,3.05,training
4.783949,4.59,training
8.339977,8.32,training
5.5376754,5.51,training
6.2898417,5.92,training
12.164139,10.4,training
8.459424,7.92,training
7.8050117,8.62,training
3.4801252,3.27,training
7.106299,7.68,training
8.5643215,9.28,training
5.1902547,4.22,training
6.4189987,5.77,training
2.9546838,2.62,training
3.3916647,3.13,training
4.759329,4.47,training
8.120822,8,training
7.1958466,6.4,training
7.8042502,8.52,training
5.530986,5.41,training
7.2026067,7.35,training
7.811539,7.54,training
5.592077,5.85,training
3.960451,3.55,training
5.274615,5.13,training
3.4196959,3.28,training
4.1307154,3.48,training
4.8645396,4.43,training
8.79647,7.96,training
5.243756,4.46,training
7.5221643,7.7,training
2.687557,1.44,training
9.286559,8.49,training
5.472069,5.24,training
6.705033,6.54,training
5.416203,4.96,training
5.7195134,6.08,training
5.484346,5.3,training
7.8613257,7.55,training
8.752936,6.96,training
4.344948,3.99,training
6.119724,6.2,training
5.809169,5.54,training
5.9824443,5.9,training
7.1998444,6.62,training
7.1998444,6.62,training
10.936621,9.82,training
8.475773,8.42,training
7.5832677,7.66,training
7.1031237,6.57,training
8.583524,8.55,training
7.714038,8.24,training
6.425152,6.15,training
2.7003505,2.7,training
7.384037,7.7,training
8.312164,8.31,training
4.751339,4.85,training
3.2090714,3.03,training
4.843461,4.4,training
3.3521109,2.37,training
7.7817516,7.47,training
7.5674386,7.68,training
7.0704765,7,training
8.270485,7.88,training
4.2066693,6.15,training
7.2492943,5.34,training
8.387019,8.92,training
